Customer_ID,Date,Amount,Merchant,Category,Transaction_Type,Transaction_ID
4093,2023-11-07 21:22:01.699114,32.35,Walmart,Retail,Credit,cde5d5e6-c9c4-4d52-8edc-db31a2eb5cb7
8932,2024-03-26 21:28:54.764812,274.6,Apple,Technology,Credit,49dd1ea6-f01b-4753-9b4e-19dc1b1ff8ff
4054,2023-11-11 21:11:58.293776,704.7,Walmart,Retail,Credit,e55c81e5-1d8e-4ba6-ac9c-63fa446d33d5
8737,2023-11-03 21:30:47.320404,912.98,Apple,Technology,Credit,5b9d8a19-8750-483e-ad36-9addfa0923f5
4835,2024-02-26 21:24:26.766432,610.51,Starbucks,Food & Beverage,Debit,ec35d910-7f71-49b0-af55-e60ad73b0875
4810,2024-04-24 21:19:11.605023,583.77,Netflix,Entertainment,Debit,93e4da47-c826-466e-9609-d7bdc5bac95c
1204,2024-07-10 21:26:41.173767,275.83,Target,Retail,Debit,b63bbc70-4c51-4b7d-bd07-a5a091a29b8d
8080,2023-12-28 21:35:10.051071,530.01,Target,Retail,Debit,452d5a79-1b8c-4999-909d-d3cf74de4efb
9048,2024-06-20 21:10:15.780828,817.96,Lyft,Transportation,Debit,095ac924-f0bb-4933-9573-0fecb2cb4b6d
8803,2024-06-04 21:23:09.873814,967.05,Costco,Retail,Debit,1186c71e-3bbc-40b7-a637-064ff48db468
3886,2024-05-27 21:13:52.274978,831.85,Starbucks,Food & Beverage,Debit,76af204f-273d-406a-af1a-8e52206e5a0d
8407,2023-12-13 21:15:59.010690,68.01,Walmart,Retail,Credit,8d943f75-8c17-4949-89af-d8c88b5dde2a
5896,2024-08-27 21:24:00.243263,935.42,Amazon,Retail,Debit,48a22036-c37b-48f6-add8-2781afd49ae7
4821,2024-01-14 21:27:37.933278,67.31,Apple,Technology,Debit,1800b539-9b8c-4b55-b5b6-76bc1b645eb0
7285,2024-02-18 21:19:31.750146,298.95,Spotify,Entertainment,Debit,0515dcc1-e9b7-4ed7-b8f1-e79f1adc7c7f
7117,2023-12-12 21:28:09.566591,672.75,Amazon,Retail,Debit,0fa53534-2971-405c-bb0b-202a66face44
2694,2024-06-24 21:22:11.579894,329.49,Lyft,Transportation,Debit,915d0b63-cd22-412b-87a9-d8150163a26d
6468,2024-03-15 21:10:45.339668,419.83,Uber,Transportation,Debit,41d9fec6-9f5a-4e47-b559-a7e7f6925148
4639,2023-12-22 21:29:38.324675,475.43,Spotify,Entertainment,Credit,424df47a-a156-410e-ad25-651e797d9b3d
9184,2024-07-16 21:25:35.426868,658.6,Tesla,Technology,Debit,698e4498-40af-4900-8a3a-dbf266079414
9668,2023-11-04 21:18:33.318046,610.97,Uber,Transportation,Credit,713ade10-8e47-45b7-be3f-5787653fb855
9102,2024-07-26 21:25:43.304160,17.04,Tesla,Technology,Credit,fae597b8-77d7-491d-8e0b-744f4459b150
1675,2024-08-29 21:25:53.733804,858.81,Costco,Retail,Debit,c506e005-6dae-4b90-bd5c-80e5235a8928
9973,2024-03-16 21:18:38.910464,803.35,Uber,Transportation,Debit,0bbe17e6-4ce2-49a8-b9b3-952c22d531a4
1785,2024-02-26 21:20:44.308716,528.79,Walmart,Retail,Credit,27501e8b-9800-4711-b178-f35d95d26edc
7272,2024-06-01 21:33:40.161944,819.48,Walmart,Retail,Credit,ee0aa73d-d9d9-4d7a-b85a-f90081a54e85
9658,2024-07-10 21:28:44.045208,54.91,Costco,Retail,Debit,2d8fc8de-0d70-42df-9731-dd0febd495fa
8318,2024-03-30 21:18:19.150393,256.75,Apple,Technology,Debit,d0f24140-8292-4b4f-915b-eba73769e449
8203,2024-09-01 21:29:40.592124,198.96,Costco,Retail,Debit,ea1e1976-f635-4f66-915c-c02d62ba99f5
9173,2024-08-18 21:33:52.851631,478.63,Apple,Technology,Credit,c6b2ed15-d29d-41c7-9251-53cad86b2855
4858,2024-04-20 21:11:08.443190,981.92,Starbucks,Food & Beverage,Debit,fbf2501c-092f-4845-b88f-4aa82270a126
8612,2023-12-18 21:25:08.316408,649.08,Amazon,Retail,Credit,bf374402-406b-443b-b174-5a45087686e6
7393,2024-06-19 21:24:27.459701,650.53,Starbucks,Food & Beverage,Debit,e5c01f2b-eb72-4464-94a3-8ebdbb9adaa2
8865,2023-12-26 21:27:36.935158,719.89,Amazon,Retail,Credit,407cec87-8904-46b6-9343-8dd0b6050d75
4726,2023-11-30 21:14:16.199118,758.11,Walmart,Retail,Credit,bb0e555b-9394-4743-862a-8496c6d1ea1f
8499,2023-12-03 21:11:13.574235,941.97,Apple,Technology,Credit,00b5ca9f-5712-43fc-a3bd-9c626fc14819
2053,2024-07-12 21:25:11.442005,538.53,Lyft,Transportation,Credit,362dcd27-3da7-4923-9005-c06d732b2879
8417,2024-09-16 21:22:40.820248,404.36,McDonald’s,Food & Beverage,Debit,ab975836-2ef7-4c43-8eec-7c92493409df
6541,2023-12-09 21:11:04.167553,870.9,Costco,Retail,Credit,7f16ee84-30eb-4d48-9f45-975429f74cfa
8619,2024-06-21 21:22:27.613813,416.79,Netflix,Entertainment,Debit,5eca1c1d-7aad-46fe-b967-5595a52297e3
